iter	Passed	Remaining
0	0	66
1	1	57
2	1	53
3	2	48
4	2	47
5	2	46
6	3	45
7	3	45
8	4	44
9	4	43
10	5	43
11	5	42
12	6	41
13	6	41
14	7	40
15	7	40
16	8	40
17	8	40
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	29
39	19	29
40	20	28
41	20	28
42	20	27
43	21	27
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	44	4
90	44	4
91	45	3
92	45	3
93	46	2
94	46	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
